"pos_05_Brarut_1.A.6_01_7401"	"pos_10_Brarut_1.B.3_01_7408"	"pos_15_Calcus_1.B.8_01_7415"	"pos_17_Calcus_1.C.2_01_7417"	"pos_01_Fistax_1.A.2_01_7396"	"pos_02_Fistax_1.A.3_01_7398"	"pos_04_Gripul_1.A.5_01_7400"	"pos_23_Gripul_1.C.8_01_7425"	"pos_09_Hypcup_1.B.2_01_7407"	"pos_21_Hypcup_1.C.6_01_7421"	"pos_25_Marpol_1.D.2_01_7427"	"pos_26_Marpol_1.D.3_01_7428"	"pos_12_Plaund_1.B.5_01_7410"	"pos_13_Plaund_1.B.6_01_7411"	"pos_06_Polstr_1.A.7_01_7402"	"pos_07_Polstr_1.A.8_01_7403"
8.320267	9.774647	7.769102	8.038329	6.348327	8.334243	6.530061	0	0	8.128351	7.545814	7.587725	0	0	5.95915	0
7.774117	8.677425	0	5.093505	0	7.318518	0	0	8.409751	0	0	0	7.26685	7.070731	0	0
7.616177	8.277511	7.865635	7.340124	7.87226	7.367377	7.418013	8.324105	7.807312	7.573071	8.018881	8.567448	7.993112	7.161802	7.890424	7.561284
7.732415	7.634589	7.894134	7.405925	7.985078	7.421134	8.394555	7.630394	8.180042	7.811539	8.376507	8.571727	7.635232	7.280263	7.787866	8.522048
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.33391	0	8.028639	9.103384	0	0	0	0	6.132652	0	0	0	6.472037	0	7.205563	8.957204
7.537196	7.163268	7.392372	7.072743	7.690527	8.151114	7.992339	7.721306	7.73785	7.807186	8.312051	8.53392	7.104424	7.19473	7.833945	7.627647
6.830903	6.842436	7.291874	6.846179	6.178962	7.071872	7.061942	6.293966	7.325411	6.864862	7.871108	7.527401	7.410265	7.067872	9.289943	7.216512
0	7.643916	7.125174	0	5.41514	0	0	0	0	6.152154	0	0	7.714288	9.062614	0	0
